ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU26810.1	0.000148524411725502	0.000126508553078111	0.000220414437009652	0.000116801744894104
AKU26811.1	0.000414363243252727	0.000433440062526121	0.00060135339913236	0.000501734640072356
AKU26812.1	9.1082737550994e-05	8.96952826104371e-05	8.55072958118199e-05	6.00088573732258e-05
AKU26813.1	9.59176338847149e-05	5.31440155760906e-05	4.17470666212848e-05	6.81541124869599e-05
AKU26814.1	0.000325554639566433	0.00027739488179493	0.000187194569646517	0.000232854068002198
AKU26815.1	0.000191905925556192	0.000210123316422659	0.000173356287017183	0.000194304689165192
AKU26816.1	0.00113779892816289	0.00126817914891485	0.00135769191378946	0.000760053987220267
AKU26819.1	0.00103805629122651	0.000821408394159317	0.000514541724749255	0.00114777417844283
AKU26820.1	0.000286144758553821	0.000307295100165285	0.000218873489704031	0.000226679994811581
AKU26821.1	0.000695151479763447	0.000855042587154698	0.000707091513438786	0.000664398846794517
AKU26822.1	4.21695812961532e-05	8.01220498264491e-05	5.88197475788375e-05	5.35228861801914e-05
AKU26823.1	1.56160927274825e-05	7.63709905051251e-06	1.45581134164898e-05	1.570198693106e-05
AKU26824.1	0.000303806202875516	0.000335743665075851	0.000406815775609239	0.000308679094136268
AKU26825.1	8.82851229743951e-05	0.000162117979364273	0.000172798894302739	9.19077344774273e-05
AKU26826.1	0.000136677110143464	0.000169706053518054	5.06959520699827e-05	0.000198534064118417
AKU26828.1	5.40939102307275e-05	4.00100349310055e-05	6.50646500664871e-05	3.56840691953297e-05
AKU26829.1	0.000824961853512317	0.00106360974081749	0.00135752165159843	0.00114330356568867
AKU26830.1	0.000692837689008247	0.000701234164182568	0.00043993655447036	0.00070461278935411
AKU26831.1	0.000411634952975757	0.000372538377134194	0.000418836405980275	0.000398420330395909
